listing_url,price,town,bedrooms,bathrooms,area,floor,tenure,property_type,listing_id,address_from_url,postal_code,onemap_full_address,onemap_road_name,latitude,longitude,nearest_mrt,nearest_exit,nearest_mrt_distance_m,nearest_clinic_name,nearest_clinic_distance_m,nearest_park_name,nearest_park_distance_m,nearest_community_club_name,nearest_community_club_distance_m
https://www.propertyguru.com.sg/listing/for-sale-pinery-residences-60241655,"S$ 3,526,000",Bedok,5,3.0,"1,475 sqft",,,HDB,60241655,For Sale Pinery Residences,,,,,,,,,,,,,,
https://www.propertyguru.com.sg/listing/hdb-for-sale-467-ang-mo-kio-avenue-10-500052274,"S$ 533,000",Ang Mo Kio,3,2.0,990 sqft,High Floor,,HDB,500052274,467 Ang Mo Kio Avenue 10,560467.0,467 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560467,ANG MO KIO AVENUE 10,1.36539106633914,103.856803588706,ANG MO KIO MRT STATION,Exit A,887.4043231318948,kml_10,211.2,HAUS LINEAR PARK,365.3,Teck Ghee CC,443.9
https://www.propertyguru.com.sg/listing/hdb-for-sale-467-ang-mo-kio-avenue-10-500052274,"S$ 533,000",Ang Mo Kio,3,2.0,990 sqft,High Floor,,HDB,500052274,467 Ang Mo Kio Avenue 10,560467.0,467 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560467,ANG MO KIO AVENUE 10,1.36539106633914,103.856803588706,ANG MO KIO MRT STATION,Exit A,887.4043231318948,kml_494,211.2,HAUS LINEAR PARK,365.3,Teck Ghee CC,443.9
https://www.propertyguru.com.sg/listing/hdb-for-sale-81-commonwealth-close-23663635,"S$ 350,000",Bukit Batok,2,2.0,614 sqft,High floor,,HDB,23663635,81 Commonwealth Close,140081.0,81 COMMONWEALTH CLOSE COMMONWEALTH HEIGHTS SINGAPORE 140081,COMMONWEALTH CLOSE,1.303787443937,103.800385265974,COMMONWEALTH MRT STATION,Exit C,260.9077209184994,kml_995,310.4,RAIL CORRIDOR,661.6,Queenstown CC,522.9
https://www.propertyguru.com.sg/listing/hdb-for-sale-287d-jurong-east-street-21-500024496,"S$ 1,068,000",Clementi,3,2.0,"1,561 sqft",high floor,,HDB,500024496,287D Jurong East Street 21,604287.0,287D JURONG EAST STREET 21 SINGAPORE 604287,JURONG EAST STREET 21,1.33786938805889,103.744114430465,JURONG EAST MRT STATION,Exit A,504.6036690107623,kml_184,318.7,JAPANESE GARDENS,1227.5,Yuhua CC,818.2
https://www.propertyguru.com.sg/listing/hdb-for-sale-235-bukit-batok-east-avenue-5-500081350,"S$ 425,000",Bukit Batok,2,2.0,743 sqft,,,HDB,500081350,235 Bukit Batok East Avenue 5,650235.0,235 BUKIT BATOK EAST AVENUE 5 GOMBAK GARDENS SINGAPORE 650235,BUKIT BATOK EAST AVENUE 5,1.34848352110457,103.756300449103,BUKIT BATOK MRT STATION,Exit A,713.4090147071495,kml_525,119.7,BUKIT BATOK TOWN PARK,486.4,Bukit Batok East CC (U/C),218.2
https://www.propertyguru.com.sg/listing/hdb-for-sale-235-bukit-batok-east-avenue-5-500081350,"S$ 425,000",Bukit Batok,2,2.0,743 sqft,,,HDB,500081350,235 Bukit Batok East Avenue 5,650235.0,235 BUKIT BATOK EAST AVENUE 5 GOMBAK GARDENS SINGAPORE 650235,BUKIT BATOK EAST AVENUE 5,1.34848352110457,103.756300449103,BUKIT BATOK MRT STATION,Exit A,713.4090147071495,kml_323,119.7,BUKIT BATOK TOWN PARK,486.4,Bukit Batok East CC (U/C),218.2
https://www.propertyguru.com.sg/listing/hdb-for-sale-410-commonwealth-avenue-west-60229284,"S$ 638,888",Clementi,3,2.0,"1,044 sqft",High floor,,HDB,60229284,410 Commonwealth Avenue West,120410.0,410 COMMONWEALTH AVENUE WEST SINGAPORE 120410,COMMONWEALTH AVENUE WEST,1.31144123230238,103.769691998438,CLEMENTI MRT STATION,Exit C,532.5394985984177,kml_599,215.7,TAMAN MAS MERAH PLAYGROUND,595.4,Clementi CC,833.2
https://www.propertyguru.com.sg/listing/hdb-for-sale-643-ang-mo-kio-avenue-5-500030514,"S$ 440,000",Ang Mo Kio,2,2.0,807 sqft,Mid Floor,,HDB,500030514,643 Ang Mo Kio Avenue 5,560643.0,643 ANG MO KIO AVENUE 5 ANG MO KIO 61 SINGAPORE 560643,ANG MO KIO AVENUE 5,1.3775062692911,103.840557182306,MAYFLOWER MRT STATION,Exit 3,560.1250586442817,kml_941,227.7,ANG MO KIO TOWN GARDEN WEST,164.2,Yio Chu Kang CC (Pending U/C),454.0
https://www.propertyguru.com.sg/listing/hdb-for-sale-96-bedok-north-avenue-4-500043548,"S$ 725,000",Bedok,3,2.0,"1,324 sqft",High Floor,,HDB,500043548,96 Bedok North Avenue 4,460096.0,96 BEDOK NORTH AVENUE 4 SINGAPORE 460096,BEDOK NORTH AVENUE 4,1.33326478123569,103.940334868697,BEDOK RESERVOIR MRT STATION,Exit B,844.570377461659,kml_569,169.8,JLN PARI DEDAP PG,357.4,Fengshan CC,308.2
